Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Fecha publicación,Kilómetros,Precio
Toyota,Rav4,2009,2.4 4x4 At,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 17 días,176.100 km,18990000
Toyota,Rav4,2012,2.4 4x4 At,Plateado,Nafta,5,Automática,2.4,SUV,Publicado hace 13 días,150.000 km,17900
Toyota,Rav4,2019,2019 2.0 Tx,Gris,Nafta,4,Automática,2.0,SUV,Publicado hace 37 días,14.000 km,34900
Toyota,Rav4,2012,2.4 4x4 At Cuero 2012 Automatica,Gris,Nafta,5,Automática,2.4,SUV,Publicado hace 9 días,162.000 km,20400000
Toyota,Rav4,2018,2.0 Tx,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 3 meses,46.200 km,34900
Toyota,Rav4,2011,2.4 4x2 At,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 45 días,240.000 km,13500
Toyota,Rav4,2013,2.5 4x4 6at,Negro,Nafta,5,Automática,2.5,SUV,Publicado hace 9 días,170.000 km,23000
Toyota,Rav4,2012,2.4 4x4 At,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 7 meses,246.000 km,16500
Toyota,Rav4,2023,2.5 Vx,Blanco,Nafta,5,Automática,2.5,SUV,Publicado hace 3 meses,20.000 km,67000
Toyota,Rav4,2017,2.0 Vx,Gris,Nafta,5,Automática,2.0,SUV,Publicado hace 20 días,68.000 km,32500
Toyota,Rav4,2012,2.4 4x2 At,Blanco,Nafta,5,Automática,2.4,SUV,Publicado hace 23 días,200.195 km,15700
Toyota,Rav4,2011,2.4 4x2 At 2012,Negro,Nafta,5,Automática,2.4,SUV,Publicado hace 53 días,145.000 km,16000
